LSOA code,LSOA name,Value
E01033572,Barnet 030E,"499,950"
E01033573,Barnet 030F,"455,000"
E01000325,Bexley 014A,"495,000"
E01000326,Bexley 014B,"325,000"
E01000327,Bexley 017A,"488,000"
E01000328,Bexley 017B,"416,000"
E01000329,Bexley 017C,"328,500"
E01000330,Bexley 017D,"320,000"
E01000331,Bexley 017E,"400,000"
E01000332,Bexley 005A,"355,000"
E01000333,Bexley 003A,"301,500"
E01000334,Bexley 006A,"347,500"
E01000335,Bexley 003B,"285,000"
E01000336,Bexley 003C,"254,998"
E01000337,Bexley 003D,"345,500"
E01000338,Bexley 003E,"330,375"
E01000339,Bexley 025A,"450,000"
E01000340,Bexley 018A,"423,000"
E01000341,Bexley 022A,"423,000"
E01000342,Bexley 022B,"383,750"
E01000343,Bexley 022C,"542,000"
E01000344,Bexley 025B,"525,000"
E01000345,Bexley 022D,"531,000"
E01000346,Bexley 021A,"387,500"
E01000347,Bexley 021B,"420,000"
E01000348,Bexley 020A,"625,000"
E01000349,Bexley 020B,"500,000"
E01000350,Bexley 021C,"442,500"
E01000351,Bexley 024A,"400,000"
E01000352,Bexley 021D,"350,000"
E01000353,Bexley 011A,"526,000"
E01000354,Bexley 011B,"436,500"
E01000355,Bexley 011C,"421,000"
E01000356,Bexley 009A,"521,750"
E01000357,Bexley 009B,"538,000"
E01000358,Bexley 011D,"455,000"
E01000359,Bexley 009C,"482,500"
E01000360,Bexley 015A,"370,000"
E01000361,Bexley 020C,"413,000"
E01000362,Bexley 015B,"327,495"
E01000363,Bexley 020D,"480,000"
E01000364,Bexley 023A,"467,500"
E01000365,Bexley 015C,"274,075"
E01000366,Bexley 015D,"460,000"
E01000367,Bexley 010A,"295,000"
E01000368,Bexley 010B,"330,000"
E01000369,Bexley 014C,"373,000"
E01000370,Bexley 014D,"417,500"
E01000371,Bexley 014E,"360,000"
E01000372,Bexley 010C,"430,000"
E01000373,Bexley 008A,"272,000"
E01000374,Bexley 019A,"360,000"
E01000375,Bexley 019B,"336,500"
E01000376,Bexley 019C,"348,000"
E01000377,Bexley 019D,"300,000"
E01000378,Bexley 019E,"310,000"
E01000379,Bexley 019F,"358,290"
E01000380,Bexley 010D,"239,995"
E01000381,Bexley 028A,"385,000"
E01000382,Bexley 027A,"530,000"
E01000383,Bexley 028B,"515,000"
E01000384,Bexley 027B,"395,000"
E01000385,Bexley 028C,"330,000"
E01000386,Bexley 028D,"290,000"
E01000387,Bexley 027C,"512,500"
E01000388,Bexley 016A,"505,000"
E01000389,Bexley 020E,"519,750"
E01000390,Bexley 020F,"421,000"
E01000391,Bexley 021E,"410,000"
E01000392,Bexley 016B,"332,500"
E01000393,Bexley 020G,"418,000"
E01000394,Bexley 015E,"440,000"
E01000395,Bexley 018B,"565,000"
E01000396,Bexley 018C,"527,000"
E01000398,Bexley 029A,"365,000"
E01000399,Bexley 029B,"476,000"
E01000400,Bexley 029C,"461,000"
E01000401,Bexley 013A,"400,000"
E01000402,Bexley 005B,"248,750"
E01000403,Bexley 004A,"300,000"
E01000404,Bexley 004B,"234,998"
E01000405,Bexley 004C,"307,500"
E01000406,Bexley 005C,"327,500"
E01000407,Bexley 005D,"456,000"
E01000408,Bexley 004D,"327,000"
E01000409,Bexley 016C,"410,000"
E01000410,Bexley 018D,"434,000"
E01000411,Bexley 016D,"435,000"
E01000412,Bexley 018E,"405,000"
E01000413,Bexley 018F,"380,000"
E01000414,Bexley 016E,"399,000"
E01000415,Bexley 016F,"542,250"
E01000416,Bexley 002A,
E01000417,Bexley 006B,"270,000"
E01000418,Bexley 002B,"360,000"
E01000419,Bexley 006C,"400,000"
E01000420,Bexley 006D,"401,000"
E01000421,Bexley 009D,"505,000"
E01000422,Bexley 002C,
E01000423,Bexley 025C,"585,000"
E01000424,Bexley 026A,"295,000"
E01000425,Bexley 025D,"595,000"
E01000426,Bexley 026B,"410,000"
E01000427,Bexley 026C,"380,000"
E01000428,Bexley 027D,"304,000"
E01000429,Bexley 008B,"260,000"
E01000430,Bexley 008C,"312,500"
E01000431,Bexley 008D,"271,000"
E01000432,Bexley 008E,"298,000"
E01000433,Bexley 008F,"312,000"
E01000434,Bexley 008G,"327,000"
E01000435,Bexley 010E,"350,000"
E01000436,Bexley 011E,"495,250"
E01000437,Bexley 007A,"425,000"
E01000438,Bexley 007B,"340,000"
E01000439,Bexley 007C,"332,665"
E01000440,Bexley 007D,"478,000"
E01000441,Bexley 007E,"305,000"
E01000442,Bexley 006E,"436,000"
E01000443,Bexley 024B,"405,000"
E01000444,Bexley 023B,"660,000"
E01000445,Bexley 024C,"530,000"
